推荐人ID,推荐博主名称,博主涉及领域,博主所在平台,跳转链接,推荐理由,推荐时间
CNtei,Mandell博士,B站,健康,https://space.bilibili.com/1473247194,脊椎矫正医师Dr. Mandell,
CNtei,心理学陈祉妍,B站,心理,https://space.bilibili.com/475015328,中国科学院心理研究所国民心理健康评估发展中心负责人、中科院心理所教授、硕士生导师,
CNtei,菲比老司机,B站,性学,https://space.bilibili.com/1930181623,人类性学硕士，树德科大-人类性学硕士 ACS美国执业性学家＆性教育家 中华世界华人性学家协会(WACS) 理事,
CNtei,李银河,B站,婚姻、家庭、情感、性别与性,https://space.bilibili.com/702575961,中国社会学家,
CNtei,子小孙的老年生活,B站,知识,https://space.bilibili.com/312098823,致力于把所有粉丝都培养成文化流氓 <(￣︶￣)>,
CNtei,中国性学会,B站,性学,https://space.bilibili.com/661849085,努力做站内最科学最有趣的性医学科普！,
CNtei,阪神电车,B站,自体心理学,https://space.bilibili.com/527581294,自体心理学解读,
CNtei,中国国家地理,B站,地理/动植物,https://space.bilibili.com/2000819931,让“想当科学家”重新变成大家的梦想，《中国国家地理》杂志社官方账号,
CNtei,_源姨_,B站,情感,https://space.bilibili.com/207702731,喜欢探究人心和人性,
CNtei,梁永安,B站,社会,https://space.bilibili.com/699492406,热爱大地，复旦大学中文系教授,
CNtei,我孙子飞鱼,B站,日麻,https://space.bilibili.com/2899425,日本麻将教学,
CNtei,心理学家Tracey,B站,心理,https://space.bilibili.com/689271931,你们好，我是特蕾西博士，精神科医生，从事心理健康教育,
CNtei,兔叭咯,B站,医学/健康,https://space.bilibili.com/7788379,bilibili 2020百大UP主、知名UP主,
CNtei,Arinor,B站,哲学,https://space.bilibili.com/88784,是做哲学普及视频的正在怠惰地学画画以及论文发不出去的小说写手~o(*￣▽￣*)ブ,
CNtei,DD第二代,B站,性教育,https://space.bilibili.com/390244162,我的梦想是，至少(首先)得让全中国几千万性少数群体，每个人都看过我的视频！,
CNtei,丁香医生,B站,健康,https://space.bilibili.com/15982391,有趣的「人体调查组」、感人的「亲历者说」、有态度的「丁香较真」，再加上时不时更新的「漫漫说」和「了不起的医生」，我想总有一个栏目你会喜欢！,
CNtei,这知识好冷,B站,冷知识,https://space.bilibili.com/403943112,bilibili 知名科普UP主,
CNtei,世界卫生组织,B站,卫生,https://space.bilibili.com/500367550,世界卫生组织（World Health Organization，简称世卫组织或WHO）,
CNtei,WhatOnEarth一探究竟,B站,科普,https://space.bilibili.com/410527811,有趣知识，文化故事，科技解释，尽在【一探究竟】,
CNtei,柴知道,B站,科普,https://space.bilibili.com/26798384,好看不火的UP主柴柴,
CNtei,秋山燿平,B站,日语,https://space.bilibili.com/229740315,会说10种语言东京大学，曾出演秋刀鱼的东大方程式,
CNtei,夹性芝士,B站,性教育,https://space.bilibili.com/326081112,去你的野生X教育，是时候认真谈X了！,
CNtei,Psych2go中文站,B站,心理,https://space.bilibili.com/203230674,在知行合一的路上共勉 (ง •̀o•́)ง,
CNtei,果壳,B站,科普,https://space.bilibili.com/205631797,果壳网官方账号,
CNtei,3Blue1Brown,B站,数学,https://space.bilibili.com/88461692/,深入浅出、直观明了地分享数学之美,
并不像当学霸的学霸,沙包_Chilli,B站,二次元绘画基础,https://space.bilibili.com/301570,,
